barcode,line,stand,bin,location
3574660026955,18,6,5,18-6-5
3574660028096,19,4,5,19-4-5
3574660039559,39,2,6,39-2-6
3574660135794,26,3,2,26-3-2
3574660149548,13,9,5,13-9-5
3574660149807,26,2,5,26-2-5
3574660245844,26,3,2,26-3-2
3574660272031,20,5,3,20-5-3
3574660297447,13,5,5,13-5-5
3574660310405,25,1,2,25-1-2
3574660322590,40,2,6,40-2-6
3574660322613,39,3,4,39-3-4
3574660372526,26,3,2,26-3-2
3574660395785,26,3,2,26-3-2
3574660428889,15,2,4,15-2-4
3574660463965,39,3,6,39-3-6
3574660534405,40,4,6,40-4-6
3574660535198,39,4,3,39-4-3
3574660598353,25,0,26,25-0-26
3574660602487,17,2,5,17-2-5
3574660602500,17,1,4,17-1-4
3574660625769,39,2,6,39-2-6
3574660625790,39,5,2,39-5-2
3574660644173,25,2,3,25-2-3
3574660666144,10,10,4,10-10-4
3574660666175,10,12,1,10-12-1
3574660674293,19,4,5,19-4-5
3574660680638,25,10,4,25-10-4
3574660682168,26,2,2,26-2-2
3574660682243,26,2,2,26-2-2
3574660682335,26,2,2,26-2-2
3574660709216,39,4,6,39-4-6
3574661057071,10,8,3,10-8-3
3574661057088,10,12,1,10-12-1
3574661073224,25,0,0,25-0-0
3574661093659,18,1,4,18-1-4
3574661093666,18,7,0,18-7-0
3574661093680,17,2,4,17-2-4
3574661093697,18,7,0,18-7-0
3574661093925,17,3,4,17-3-4
3574661093949,18,2,5,18-2-5
3574661093956,17,7,2,17-7-2
3574661093987,15,2,3,15-2-3
3574661094007,15,12,3,15-12-3
3574661094021,15,11,4,15-11-4
3574661094045,15,12,4,15-12-4
3574661098937,15,9,5,15-9-5
3574661104041,18,5,5,18-5-5
3574661186009,25,0,26,25-0-26
3574661253350,10,10,3,10-10-3
3574661253367,10,10,2,10-10-2
3574661287201,26,2,5,26-2-5
3574661287256,26,2,1,26-2-1
3574661287263,26,2,6,26-2-6
3574661296111,18,1,4,18-1-4
3574661296128,17,2,3,17-2-3
3574661303925,10,9,2,10-9-2
3574661303932,10,10,1,10-10-1
3574661325842,18,5,5,18-5-5
3574661332505,25,2,4,25-2-4
3574661332529,15,10,2,15-10-2
3574661332567,35,4,2,35-4-2
3574661333410,26,3,2,26-3-2
3574661333595,25,0,0,25-0-0
3574661336404,25,2,2,25-2-2
3574661336411,25,2,3,25-2-3
3574661338439,26,2,3,26-2-3
3574661352527,25,2,4,25-2-4
3574661365138,25,11,4,25-11-4
3574661385617,18,1,4,18-1-4
3574661385624,15,11,4,15-11-4
3574661385631,18,1,4,18-1-4
3574661385709,15,10,4,15-10-4
3574661385716,18,3,3,18-3-3
3574661385723,15,10,4,15-10-4
3574661385730,17,3,4,17-3-4
3574661392486,25,2,4,25-2-4
3574661397634,10,11,4,10-11-4
3574661397641,10,10,4,10-10-4
3574661421810,40,10,0,40-10-0
3574661422381,39,1,3,39-1-3
3574661427690,17,8,5,17-8-5
3574661427744,18,3,5,18-3-5
3574661429731,39,2,5,39-2-5
3574661430713,25,11,4,25-11-4
3574661430751,25,11,4,25-11-4
3574661447483,39,1,6,39-1-6
3574661447490,40,5,6,40-5-6
3574661448206,39,4,1,39-4-1
3574661449852,39,2,4,39-2-4
3574661449883,39,2,2,39-2-2
3574661450537,26,2,1,26-2-1
3574661450926,25,11,3,25-11-3
3574661450964,25,10,1,25-10-1
3574661458755,19,4,5,19-4-5
3574661465869,18,3,3,18-3-3
3574661465876,18,1,5,18-1-5
3574661465883,20,5,5,20-5-5
3574661465890,20,5,4,20-5-4
3574661466040,12,1,2,12-1-2
3574661466057,12,1,4,12-1-4
3574661466088,12,2,1,12-2-1
3574661472393,40,3,3,40-3-3
3574661498430,25,2,4,25-2-4
3574661500386,39,5,6,39-5-6
3574661501949,26,4,3,26-4-3
3574661501956,26,4,3,26-4-3
3574661504179,25,10,1,25-10-1
3574661506302,40,5,5,40-5-5
3574661525563,25,2,4,25-2-4
3574661527079,26,2,2,26-2-2
3574661529998,36,4,2,36-4-2
3574661543871,18,1,4,18-1-4
3574661543888,17,3,4,17-3-4
3574661544267,15,11,4,15-11-4
3574661544274,15,10,2,15-10-2
3574661558950,39,3,6,39-3-6
3574661570068,25,2,3,25-2-3
3574661587035,12,6,3,12-6-3
3574661587738,18,2,3,18-2-3
3574661587745,12,1,4,12-1-4
3574661587752,12,1,2,12-1-2
3574661591537,25,11,3,25-11-3
3574661591599,26,6,2,26-6-2
3574661592909,25,11,4,25-11-4
3574661593807,25,10,5,25-10-5
3574661599250,39,3,5,39-3-5
3574661599281,40,2,3,40-2-3
3574661600215,40,0,0,40-0-0
3574661608341,14,2,4,14-2-4
3574661608358,14,1,4,14-1-4
3574661615523,15,11,4,15-11-4
3574661615530,15,11,4,15-11-4
3574661618722,12,1,2,12-1-2
3574661618739,12,1,3,12-1-3
3574661618746,12,1,4,12-1-4
3574661618753,12,1,4,12-1-4
3574661629353,10,9,3,10-9-3
3574661629360,10,11,3,10-11-3
3574661645667,26,2,3,26-2-3
3574661646503,14,1,4,14-1-4
3574661649832,15,11,4,15-11-4
3574661650784,26,2,1,26-2-1
3574661651538,40,2,4,40-2-4
3574661651569,39,2,3,39-2-3
3574661651590,14,2,4,14-2-4
3574661652207,14,1,4,14-1-4
3574661656014,13,9,4,13-9-4
3574661665795,18,2,3,18-2-3
3574661709369,18,6,3,18-6-3
3574661709376,18,6,4,18-6-4
3574661727127,14,2,3,14-2-3
3574661727134,14,2,4,14-2-4
3574661728094,19,2,2,19-2-2
3574661728254,19,4,2,19-4-2
3574661728315,19,3,2,19-3-2
3574661835570,25,0,0,25-0-0
3574661835587,25,0,0,25-0-0
3574661846910,18,9,3,18-9-3
3574661856353,14,4,4,14-4-4
3574661856889,15,9,5,15-9-5
3574661867779,18,9,3,18-9-3
3574661867786,18,9,3,18-9-3
3574669907262,18,2,4,18-2-4
3574669907316,18,3,5,18-3-5
3574669907347,17,8,5,17-8-5
3574669907545,18,3,3,18-3-3
3574669907552,17,3,4,17-3-4
3574669907736,18,1,1,18-1-1
3574669907965,18,6,3,18-6-3
3574669908023,15,11,3,15-11-3
3574669908030,15,11,3,15-11-3
3574669908559,18,8,4,18-8-4
3574669908610,18,6,4,18-6-4
3574669908672,18,3,5,18-3-5
3574669909174,17,1,2,17-1-2
3574669909853,18,4,2,18-4-2
3575410579882,20,7,0,20-7-0
3575410579899,20,0,0,20-0-0
3575410594922,20,0,0,20-0-0
3575410711039,20,7,1,20-7-1
3575410713057,20,0,0,20-0-0
3575410716669,20,7,2,20-7-2
3575410716676,17,11,2,17-11-2
3575410727344,20,7,1,20-7-1
3575410727351,20,4,1,20-4-1
3575410727368,20,6,1,20-6-1
3575410728242,20,6,5,20-6-5
3575410728501,20,7,2,20-7-2
3577057054661,30,8,4,30-8-4
3578830123536,38,3,4,38-3-4
3578830123550,38,3,4,38-3-4
3578830123628,38,4,5,38-4-5
3578830148058,23,2,4,23-2-4
358211870708,23,6,4,23-6-4
358211890720,23,6,4,23-6-4
358211891123,23,6,4,23-6-4
3587740011123,35,1,1,35-1-1
3587740011130,35,1,1,35-1-1
3587740911393,35,1,1,35-1-1
3587741601439,35,2,1,35-2-1
3587745050066,35,2,1,35-2-1
358892317011,25,3,5,25-3-5
358892318018,25,3,1,25-3-1
358892326501,25,3,5,25-3-5
358892336500,25,3,5,25-3-5
3600451897694,26,3,5,26-3-5
3600452298599,20,3,5,20-3-5
3600452668094,26,3,5,26-3-5
3600520564838,25,1,5,25-1-5
3600520564845,25,1,5,25-1-5
3600520564913,25,1,5,25-1-5
3600520619002,5,11,4,5-11-4
3600520619101,5,9,1,5-9-1
3600520837963,2,1,4,2-1-4
3600520887593,6,1,2,6-1-2
3600520921068,7,2,3,7-2-3
3600521230220,5,1,4,5-1-4
3600521230244,5,1,2,5-1-2
3600521230268,5,7,1,5-7-1
3600521230299,5,1,2,5-1-2
3600521230329,6,3,3,6-3-3
3600521230336,5,1,2,5-1-2
3600521230350,5,1,1,5-1-1
3600521230404,5,3,5,5-3-5
3600521230435,5,1,6,5-1-6
3600521637098,7,2,3,7-2-3
3600521637142,7,2,3,7-2-3
3600521767818,2,3,4,2-3-4
3600521767962,7,2,6,7-2-6
3600521924679,5,7,1,5-7-1
3600521989722,5,2,4,5-2-4
3600522263609,7,2,3,7-2-3
3600522263685,7,1,3,7-1-3
3600522296904,7,2,5,7-2-5
3600522480129,25,1,5,25-1-5
3600522490388,6,1,5,6-1-5
3600522490432,6,1,5,6-1-5
3600522562016,5,1,6,5-1-6
3600522599210,5,11,4,5-11-4
3600522599265,6,1,1,6-1-1
3600522599272,5,11,5,5-11-5
3600522599296,6,1,4,6-1-4
3600522599302,5,11,4,5-11-4
3600522599319,5,11,5,5-11-5
3600522599326,6,1,1,6-1-1
3600522599333,5,9,1,5-9-1
3600522599340,5,11,5,5-11-5
3600522599364,5,11,3,5-11-3
3600522599388,6,1,2,6-1-2
3600522599432,6,1,4,6-1-4
3600522680147,7,2,2,7-2-2
3600522736646,7,2,6,7-2-6
3600522831983,6,1,2,6-1-2
3600522832003,5,11,3,5-11-3
3600522832010,6,1,5,6-1-5
3600523126293,5,3,6,5-3-6
3600523126309,5,9,1,5-9-1
3600523192731,6,2,6,6-2-6
3600523192748,6,2,5,6-2-5
3600523192755,6,3,5,6-3-5
3600523192779,6,2,5,6-2-5
3600523306169,35,5,1,35-5-1
3600523330034,26,2,3,26-2-3
3600523363339,26,2,3,26-2-3
3600523363360,26,2,3,26-2-3
3600523431168,26,5,4,26-5-4
3600523431175,26,5,5,26-5-5
3600523431182,26,5,5,26-5-5
3600523516926,35,5,1,35-5-1
3600523627141,6,2,5,6-2-5
3600523627158,6,3,5,6-3-5
3600523755974,7,2,4,7-2-4
3600523823604,25,1,2,25-1-2
3600523823611,25,1,5,25-1-5
3600523823628,25,1,5,25-1-5
3600523944354,8,1,5,8-1-5
3600523959716,26,2,3,26-2-3
3600523967216,2,10,5,2-10-5
3600523967766,8,5,3,8-5-3
3600523967988,26,4,6,26-4-6
3600523971954,26,6,2,26-6-2
3600523976584,7,1,3,7-1-3
3600524026141,8,9,3,8-9-3
3600524026202,7,1,4,7-1-4
3600524026844,26,6,2,26-6-2
3600524028497,1,3,4,1-3-4
3600524042684,7,2,2,7-2-2
3600524044145,7,1,4,7-1-4
3600524051037,26,6,5,26-6-5
3600524051044,26,6,5,26-6-5
3600524051082,25,1,5,25-1-5
3600524053147,26,2,3,26-2-3
3600524079017,7,2,3,7-2-3
3600524146658,7,2,3,7-2-3
3600524146665,7,1,3,7-1-3
3600524165277,26,2,4,26-2-4
3600524199029,5,2,6,5-2-6
3600524199043,5,2,6,5-2-6
3600524228040,7,2,4,7-2-4
3600524232672,25,1,4,25-1-4
3600524233730,26,5,5,26-5-5
3600524239848,6,1,5,6-1-5
3600524239862,6,1,5,6-1-5
3600524239879,6,1,5,6-1-5
3600524239886,6,1,5,6-1-5
3600524239893,6,1,5,6-1-5
3600524239909,6,1,5,6-1-5
3600524244484,26,1,4,26-1-4
3600524259679,36,4,3,36-4-3
360052837963,1,6,6,1-6-6
3600540539236,7,2,5,7-2-5
3600540539397,7,9,4,7-9-4
3600541091894,9,5,2,9-5-2
3600541124318,9,5,5,9-5-5
3600541177741,2,4,3,2-4-3
3600541510531,2,7,6,2-7-6
3600541729711,25,0,0,25-0-0
3600541897694,26,3,5,26-3-5
3600542064934,36,4,2,36-4-2
3600542065016,36,4,1,36-4-1
3600542065047,36,4,5,36-4-5
3600542081337,26,2,2,26-2-2
3600542097086,36,4,3,36-4-3
3600542109796,26,4,6,26-4-6
3600542158718,36,4,3,36-4-3
3600542231831,7,2,5,7-2-5
3600542231848,8,11,5,8-11-5
3600542267199,7,2,4,7-2-4
3600542267205,8,7,4,8-7-4
3600542298599,26,3,5,26-3-5
3600542368094,26,2,6,26-2-6
3600542370110,8,11,6,8-11-6
3600542370196,7,1,6,7-1-6
3600542370271,7,1,4,7-1-4
3600542371063,7,11,6,7-11-6
3600542398183,26,6,6,26-6-6
3600542402408,7,2,4,7-2-4
3600542404235,26,1,2,26-1-2
3600542416061,1,3,3,1-3-3
3600542416078,1,3,1,1-3-1
3600542416092,1,3,2,1-3-2
3600542416108,1,3,3,1-3-3
3600542416122,1,3,2,1-3-2
3600542416139,1,3,4,1-3-4
3600542416146,1,3,1,1-3-1
3600542416153,1,3,2,1-3-2
3600542446198,26,2,3,26-2-3
3600542481489,7,10,6,7-10-6
3600542481588,1,3,3,1-3-3
3600542481595,1,3,2,1-3-2
3600542499149,1,12,2,1-12-2
3600542499194,1,10,2,1-10-2
3600542511988,18,4,2,18-4-2
3600542511995,18,5,2,18-5-2
3600542512008,18,5,2,18-5-2
3600542528115,26,2,4,26-2-4
3600542536868,25,1,0,25-1-0
3600542543125,7,2,7,7-2-7
3600542543132,7,2,5,7-2-5
3600542543149,7,2,6,7-2-6
3600542543156,7,2,7,7-2-7
3600542556699,8,2,3,8-2-3
3600542556705,8,2,3,8-2-3
3600542562027,26,6,6,26-6-6
3600542571005,7,2,3,7-2-3
3600542612920,8,9,6,8-9-6
3600542627672,7,2,2,7-2-2
3600542630672,7,2,3,7-2-3
3600542631976,23,2,4,23-2-4
3600542638524,7,1,6,7-1-6
3600542641067,34,2,2,34-2-2
3600542642453,5,4,3,5-4-3
3600542642460,9,5,1,9-5-1
3600542642781,26,2,3,26-2-3
3600542657631,7,2,6,7-2-6
3600542666473,25,1,6,25-1-6
3600542666480,25,2,6,25-2-6
3600542666503,25,1,6,25-1-6
3606000512115,22,6,1,22-6-1
3606000512153,22,6,1,22-6-1
3606000512276,22,6,3,22-6-3
3606000512351,22,6,1,22-6-1
3606000514911,22,6,1,22-6-1
3606000534674,22,6,1,22-6-1
3606000534711,22,6,1,22-6-1
3606000534759,22,6,1,22-6-1
3606000534797,22,6,2,22-6-2
3606000534919,22,6,3,22-6-3
3606000537194,22,6,3,22-6-3
3606000537316,22,6,3,22-6-3
3606000537439,22,6,1,22-6-1
3606000537453,22,6,3,22-6-3
3606000537460,22,6,2,22-6-2
3606000537514,22,6,4,22-6-4
3606000537521,22,6,2,22-6-2
3606000537552,22,6,2,22-6-2
3606000537576,22,6,3,22-6-3
3606000537606,22,6,2,22-6-2
3606000537620,22,6,2,22-6-2
3606000537637,22,6,2,22-6-2
3606000537668,22,6,4,22-6-4
3606000537675,22,6,4,22-6-4
3606000537712,22,6,5,22-6-5
3606000537729,22,6,3,22-6-3
3606000537736,22,6,1,22-6-1
3606000537743,22,6,3,22-6-3
3606000537750,22,6,3,22-6-3
3606000537972,22,6,2,22-6-2
3606000544017,22,6,1,22-6-1
3606000551954,22,6,5,22-6-5
3606000554559,22,6,1,22-6-1
3606000559998,22,5,1,22-5-1
3606000560239,22,6,1,22-6-1
3606000560833,22,6,1,22-6-1
3606000560994,22,6,1,22-6-1
3606000575172,22,6,1,22-6-1
3606000576810,22,6,2,22-6-2
3606000577213,22,6,2,22-6-2
3606000582859,22,6,1,22-6-1
3606000593794,22,6,3,22-6-3
3606000609310,22,6,4,22-6-4
3607341046734,28,1,1,28-1-1
3607341047038,28,1,1,28-1-1
36103340025501,9,5,1,9-5-1
3610340006302,2,5,5,2-5-5
3610340006463,2,1,5,2-1-5
3610340012013,9,6,4,9-6-4
3610340017421,7,8,3,7-8-3
3610340019906,2,5,5,2-5-5
3610340019944,2,5,5,2-5-5
3610340019982,1,4,4,1-4-4
3610340020025,1,8,1,1-8-1
3610340023675,2,4,5,2-4-5
3610340024238,2,5,4,2-5-4
3610340024276,1,3,5,1-3-5
3610340025501,9,6,5,9-6-5
3610340025549,9,6,5,9-6-5
3610340027130,1,8,4,1-8-4
3610340028502,7,3,2,7-3-2
3610340038945,9,5,1,9-5-1
3610340038976,9,6,4,9-6-4
3610340040481,2,6,3,2-6-3
3610340050350,6,1,5,6-1-5
3610340050367,5,11,3,5-11-3
3610340078743,2,5,4,2-5-4
3610340078781,1,2,5,1-2-5
3610340080081,9,4,6,9-4-6
3610340080128,9,5,1,9-5-1
3610340394386,9,3,5,9-3-5
3610340394393,9,4,5,9-4-5
3610340632822,9,6,5,9-6-5
3610340632877,9,5,2,9-5-2
3610340633782,9,5,1,9-5-1
3610340634185,1,1,0,1-1-0
3610340634239,2,4,4,2-4-4
3610340636646,2,1,5,2-1-5
3610340636691,1,5,6,1-5-6
3610340639999,26,5,6,26-5-6
3610340640544,26,4,6,26-4-6
3610340641107,26,5,5,26-5-5
3610340641152,9,5,5,9-5-5
3610340641169,9,5,2,9-5-2
3610340641176,9,5,1,9-5-1
3610340641183,9,5,5,9-5-5
3610340641350,9,5,4,9-5-4
3610340641367,9,6,5,9-6-5
3610340641374,9,5,5,9-5-5
3610340641381,9,5,3,9-5-3
3610340641398,9,5,3,9-5-3
3610340641411,9,5,2,9-5-2
3610340641428,9,5,3,9-5-3
3610340641435,9,5,4,9-5-4
3610340641800,9,5,3,9-5-3
3610340641817,9,5,2,9-5-2
3610340641909,9,5,1,9-5-1
3610340641916,9,5,1,9-5-1
3610340641923,9,5,6,9-5-6
3610340641930,9,5,3,9-5-3
3610340641954,9,5,1,9-5-1
3610340641961,9,5,5,9-5-5
3610340641978,9,5,6,9-5-6
3610340641985,9,6,4,9-6-4
3610340646980,2,10,1,2-10-1
3610340647024,9,6,4,9-6-4
3610340647147,9,6,3,9-6-3
3610340647369,9,6,4,9-6-4
3610340647468,9,6,3,9-6-3
3610340647567,10,4,5,10-4-5
3610340647611,1,1,2,1-1-2
3610340647697,1,2,3,1-2-3
3610340647857,2,9,5,2-9-5
3610340648779,1,10,4,1-10-4
3610340649653,1,2,6,1-2-6
3610340650659,7,7,3,7-7-3
3610340650734,2,10,3,2-10-3
3610340650772,2,12,3,2-12-3
3610340650901,2,4,5,2-4-5
3610340651083,1,2,4,1-2-4
3610340651168,1,5,4,1-5-4
3610340651328,1,12,4,1-12-4
3610340651410,1,8,1,1-8-1
3610340651571,26,5,6,26-5-6
3610340652035,6,1,1,6-1-1
3610340652042,6,1,5,6-1-5
3610340652066,6,1,4,6-1-4
3610340652349,2,6,3,2-6-3
3610340652363,2,4,5,2-4-5
3610340652608,1,11,6,1-11-6
3610340652721,6,1,5,6-1-5
3610340653636,2,1,5,2-1-5
3610340653650,2,6,5,2-6-5
3610340653827,1,12,1,1-12-1
3610340653865,7,10,3,7-10-3
3610340655197,2,9,1,2-9-1
3610340655210,1,8,1,1-8-1
3610340655289,2,2,4,2-2-4
3610340656040,26,4,6,26-4-6
3610340656408,26,4,6,26-4-6
3610340658730,26,6,5,26-6-5
3610340661075,26,5,5,26-5-5
3610340662775,26,4,5,26-4-5
3610340662782,26,6,5,26-6-5
3610340663192,26,5,5,26-5-5
3610340667220,1,8,5,1-8-5
3610340667237,2,6,6,2-6-6
3610340667244,1,12,4,1-12-4
3610340667251,2,4,4,2-4-4
3610340667268,2,10,5,2-10-5
3610340667275,1,4,3,1-4-3
3610340667282,1,3,5,1-3-5
3610340667299,26,5,5,26-5-5
3610340667336,26,6,5,26-6-5
3610340668890,2,1,4,2-1-4
3610340668906,2,6,4,2-6-4
3610340668913,1,8,5,1-8-5
3610340668920,2,1,5,2-1-5
3610340668937,2,7,5,2-7-5
3610340668944,2,6,4,2-6-4
3610340669460,26,6,5,26-6-5
3610340669484,6,1,2,6-1-2
3610340669491,6,2,1,6-2-1
3610340670909,1,1,4,1-1-4
3610340670916,2,3,5,2-3-5
3610340670947,2,1,5,2-1-5
3610340670978,1,3,4,1-3-4
3610340670992,1,10,4,1-10-4
3610340671012,1,10,6,1-10-6
3610340671036,2,2,5,2-2-5
3610340671258,8,7,5,8-7-5
3610340671265,1,8,6,1-8-6
3610340672323,6,1,4,6-1-4
3610340673788,1,8,1,1-8-1
3610340673801,2,2,0,2-2-0
3610340673849,2,2,0,2-2-0
3610340673863,2,2,1,2-2-1
3610340673887,7,8,6,7-8-6
3610340675423,2,9,4,2-9-4
3610340675447,7,3,4,7-3-4
3610340675454,2,9,6,2-9-6
3610340675461,1,1,1,1-1-1
3610340675478,2,9,3,2-9-3
3610340688119,9,5,3,9-5-3
3610340688126,9,5,5,9-5-5
3610340688133,9,5,3,9-5-3
3614226761521,5,3,4,5-3-4
3614226761552,5,7,2,5-7-2
3614226761606,5,7,2,5-7-2
3614226761637,5,3,1,5-3-1
3614226781734,2,7,1,2-7-1
3614226807298,8,5,4,8-5-4
3614226807359,8,5,4,8-5-4
3614226807380,8,5,3,8-5-3
3614226807410,5,3,1,5-3-1
3614228865746,5,4,3,5-4-3
3614228865760,5,4,5,5-4-5
3614228865777,5,4,1,5-4-1
3614228865784,5,4,4,5-4-4
3614228865791,5,4,2,5-4-2
3614228865807,5,4,4,5-4-4
3614228865821,5,4,3,5-4-3
3614228865869,5,4,3,5-4-3
3614228865876,5,4,2,5-4-2
3614228865883,5,4,3,5-4-3
3614229832259,14,3,3,14-3-3
3614636975938,5,1,3,5-1-3
3614637206888,5,11,2,5-11-2
3616302038800,14,3,5,14-3-5
3616302780020,14,3,5,14-3-5
3616302780051,14,3,5,14-3-5
3616303440404,28,1,5,28-1-5
3616303440787,27,2,2,27-2-2
3616303440923,28,1,5,28-1-5
3616303441043,28,1,5,28-1-5
3616303441173,28,1,5,28-1-5
3616303443474,27,2,2,27-2-2
3616303443955,17,1,2,17-1-2
3616303444020,18,5,3,18-5-3
3616303444075,17,2,3,17-2-3
3616303444136,17,1,5,17-1-5
3616303444174,18,4,3,18-4-3
3616303444273,17,7,3,17-7-3
3616303444341,18,4,4,18-4-4
3616303444365,17,7,3,17-7-3
3616303444433,18,9,5,18-9-5
3616303444457,17,1,3,17-1-3
3616303444464,17,7,3,17-7-3
3616303444532,18,4,4,18-4-4
3616303444556,17,2,3,17-2-3
3616303444563,17,2,3,17-2-3
3616303444631,17,7,3,17-7-3
3616303458973,18,4,2,18-4-2
3616303459048,18,3,3,18-3-3
3616303459093,18,3,5,18-3-5
3616304240454,17,1,3,17-1-3
3616304240485,18,3,3,18-3-3
3616304240508,18,3,4,18-3-4
3616304248788,14,4,6,14-4-6
3616304248795,14,4,6,14-4-6
3616304892783,14,3,5,14-3-5
3616304895685,14,3,5,14-3-5
3616304900860,28,1,5,28-1-5
3616305064349,13,1,5,13-1-5
3616305064356,13,1,5,13-1-5
3616305064363,13,1,5,13-1-5
3616305064370,13,1,5,13-1-5
3616305064387,13,1,5,13-1-5
3616305064394,13,1,5,13-1-5
3616305259042,14,4,6,14-4-6
3616305447050,13,1,5,13-1-5
3616305447067,14,4,6,14-4-6
3616305447159,14,4,6,14-4-6
3616305447166,14,4,6,14-4-6
3616305447197,13,1,5,13-1-5
3616305447210,14,3,5,14-3-5
3616305488879,13,1,5,13-1-5
3616305629357,13,1,5,13-1-5
3616305629395,14,4,6,14-4-6
3616305629418,14,4,6,14-4-6
3616305629425,14,4,6,14-4-6
3616307110495,28,5,1,28-5-1
3616307110686,28,5,1,28-5-1
3616307110778,28,5,1,28-5-1
3616307475945,28,5,1,28-5-1
363404000930,10,3,4,10-3-4
363404000947,9,3,1,9-3-1
363404001272,10,9,5,10-9-5
363404001296,10,4,4,10-4-4
363404001890,10,9,5,10-9-5
363404001906,10,9,5,10-9-5
363404001913,10,9,5,10-9-5
363404002323,10,9,5,10-9-5
363404002330,10,4,3,10-4-3
3645670998416,32,3,3,32-3-3
3660398501472,37,4,1,37-4-1
3660398504664,23,0,24,23-0-24
3661434000171,22,7,5,22-7-5
3661434000515,22,8,5,22-8-5
3661434000539,22,8,5,22-8-5
3661434000973,22,9,4,22-9-4
3661434001932,22,2,5,22-2-5
3661434002687,27,1,1,27-1-1
3661434003110,21,2,3,21-2-3
3661434003691,22,8,3,22-8-3
3661434004421,35,1,3,35-1-3
3661434004575,27,1,1,27-1-1
3661434004735,22,8,5,22-8-5
3661434004841,22,9,5,22-9-5
3661434005268,22,8,5,22-8-5
3661434005459,22,7,4,22-7-4
3661434005510,22,7,4,22-7-4
3661434006098,22,8,3,22-8-3
3661434008306,21,3,4,21-3-4
3661434008412,21,4,4,21-4-4
3663555004120,33,2,1,33-2-1
3663555004137,33,2,1,33-2-1
3663555004144,33,2,1,33-2-1
3663555004151,33,2,1,33-2-1
3663555004168,33,2,1,33-2-1
3663555004175,33,2,1,33-2-1
3663555004182,33,2,1,33-2-1
3663555004199,33,2,2,33-2-2
3663555004205,33,2,1,33-2-1
3663555004212,33,2,1,33-2-1
3663555004229,33,2,4,33-2-4
3663555004243,33,2,1,33-2-1
3667890045013,32,6,4,32-6-4
3667890045015,32,6,2,32-6-2
3667890045046,31,5,6,31-5-6
3667890045060,32,6,0,32-6-0
3667890045084,32,6,4,32-6-4
3667890045114,32,6,1,32-6-1
3667890045121,32,6,4,32-6-4
3667890045206,32,6,4,32-6-4
3667890045237,32,6,0,32-6-0
3667890045244,32,6,3,32-6-3
3667890045251,32,5,4,32-5-4
3667890045268,32,6,5,32-6-5
3667890045282,32,6,4,32-6-4
3667890045329,32,6,6,32-6-6
3667890045336,32,5,6,32-5-6
3667890045343,32,6,1,32-6-1
3667890045350,32,6,0,32-6-0
3667890045367,32,10,6,32-10-6
3667890045374,32,11,5,32-11-5
3667890045398,32,6,5,32-6-5
3667890045411,32,6,0,32-6-0
3667890045459,32,6,6,32-6-6
3667890045558,32,7,7,32-7-7
3667890045565,31,6,0,31-6-0
3667890045572,32,2,6,32-2-6
3667890045589,32,5,1,32-5-1
3667890045596,32,10,1,32-10-1
3667890045602,32,10,5,32-10-5
3667890045619,31,4,1,31-4-1
3667890045657,32,10,1,32-10-1
3667890045671,32,10,5,32-10-5
3667890045763,32,9,3,32-9-3
3667890045909,32,1,1,32-1-1
3667890045930,32,6,2,32-6-2
3667890045954,32,3,6,32-3-6
3700194714413,24,1,3,24-1-3
3700281702286,24,6,3,24-6-3
3700281702378,24,3,4,24-3-4
3700281702408,23,6,2,23-6-2
3700281702446,24,6,1,24-6-1
3700281702583,24,3,4,24-3-4
3700281702774,23,6,2,23-6-2
3700281702835,24,6,4,24-6-4
3700281702873,23,4,4,23-4-4
3700281703252,24,2,2,24-2-2
3700281703283,24,6,5,24-6-5
3700281703306,24,6,3,24-6-3
3700281703573,23,5,2,23-5-2
3700281703993,24,1,2,24-1-2
3700281705003,24,2,2,24-2-2
3700420637271,13,7,3,13-7-3
3700855901121,31,3,5,31-3-5
3700855901138,31,3,6,31-3-6
3700855901145,31,3,3,31-3-3
3700855901152,31,2,2,31-2-2
3700855901169,31,3,2,31-3-2
3700855901176,31,3,6,31-3-6
3701129800041,22,7,1,22-7-1
3701129800072,22,4,5,22-4-5
3701129800089,22,4,5,22-4-5
3701129800096,22,5,4,22-5-4
3701129800119,22,5,6,22-5-6
3701129800546,22,5,5,22-5-5
3701129800553,22,7,1,22-7-1
3701129800836,22,5,4,22-5-4
3701129800843,22,7,3,22-7-3
3701129801000,22,5,4,22-5-4
3701129801369,22,5,6,22-5-6
3701129801642,22,7,3,22-7-3
3701129802069,22,5,1,22-5-1
3701129802076,22,7,3,22-7-3
3701129803400,22,5,5,22-5-5
3701129803516,22,5,4,22-5-4
3701129803523,22,5,5,22-5-5
3701129803554,22,5,5,22-5-5
3701129803561,22,5,6,22-5-6
3701129803639,22,5,4,22-5-4
3701129803677,22,5,5,22-5-5
3701129803691,22,5,4,22-5-4
3701129803738,22,5,6,22-5-6
3701129804193,22,5,5,22-5-5
3701129804957,22,5,1,22-5-1
3701129804995,22,5,4,22-5-4
3701129805329,21,7,6,21-7-6
3701129805336,21,7,6,21-7-6
3701129805343,22,0,0,22-0-0
3701129805367,22,4,5,22-4-5
3701129807316,22,5,1,22-5-1
3701129807385,22,5,5,22-5-5
3701129807392,22,5,6,22-5-6
3701129807408,22,5,1,22-5-1
