barcode,line,stand,bin,location
022796976123,2,4,2,2-4-2
022796976703,2,3,3,2-3-3
022796976710,2,3,4,2-3-4
022796977519,2,4,4,2-4-4
022796977526,2,4,3,2-4-3
024286150129,23,5,4,23-5-4
024286150426,26,1,1,26-1-1
024286152307,26,5,1,26-5-1
024286153915,23,5,5,23-5-5
024286155100,23,5,4,23-5-4
024286155308,23,5,4,23-5-4
024286157203,14,2,3,14-2-3
024286158088,14,9,3,14-9-3
024286180003,23,5,3,23-5-3
024286180324,23,5,4,23-5-4
024286180423,23,5,4,23-5-4
024500325050,38,3,4,38-3-4
024500335639,38,2,1,38-2-1
025929120967,28,3,4,28-3-4
025929121407,28,3,5,28-3-5
025929121506,28,12,6,28-12-6
025929121605,28,12,5,28-12-5
025929121704,28,12,5,28-12-5
025929121957,28,10,3,28-10-3
025929122206,28,3,4,28-3-4
025929122282,27,0,28,27-0-28
025929122732,27,0,28,27-0-28
025929122831,28,3,3,28-3-3
025929124019,27,0,28,27-0-28
025929124514,28,3,3,28-3-3
025929126846,28,3,5,28-3-5
025929126907,28,3,5,28-3-5
025929126952,27,0,28,27-0-28
025929127102,28,3,4,28-3-4
025929127140,28,12,,28-12-
025929127201,28,4,3,28-4-3
025929127256,27,0,28,27-0-28
025929129205,28,3,3,28-3-3
025929129250,27,0,28,27-0-28
025929129342,28,3,4,28-3-4
025929129403,28,3,5,28-3-5
025929129434,28,3,5,28-3-5
025929129601,28,3,5,28-3-5
025929129700,28,12,6,28-12-6
025929129823,28,3,5,28-3-5
025929129854,28,4,3,28-4-3
025929129885,28,3,5,28-3-5
025929129915,28,3,5,28-3-5
025929130003,28,3,4,28-3-4
025929130041,27,0,28,27-0-28
025929130195,28,3,5,28-3-5
025929130225,27,0,28,27-0-28
025929130249,28,3,3,28-3-3
025929130287,27,0,28,27-0-28
025929202410,28,3,4,28-3-4
025929203257,28,3,5,28-3-5
025929203288,28,12,6,28-12-6
025929203493,28,12,6,28-12-6
025929204056,28,3,4,28-3-4
025929204117,28,3,3,28-3-3
025929205176,28,3,4,28-3-4
025929205237,28,3,3,28-3-3
025929205268,28,3,4,28-3-4
025929205329,28,3,3,28-3-3
025929205718,28,3,3,28-3-3
025929205732,27,0,28,27-0-28
025929209358,28,3,4,28-3-4
025929209440,27,0,28,27-0-28
025929212112,28,3,3,28-3-3
025929212143,28,3,5,28-3-5
025929212167,28,3,5,28-3-5
025929212198,28,3,4,28-3-4
025929212228,28,3,5,28-3-5
025929212259,28,0,27,28-0-27
025929212655,28,3,5,28-3-5
025929212716,28,3,3,28-3-3
025929312300,28,3,5,28-3-5
025929312683,28,3,5,28-3-5
025929312713,28,3,5,28-3-5
026169036513,14,8,3,14-8-3
026169036728,14,8,3,14-8-3
026169038524,14,8,3,14-8-3
026169039040,13,1,4,13-1-4
026169042125,13,6,4,13-6-4
026169043443,14,8,3,14-8-3
026169063694,14,2,4,14-2-4
026169076847,13,11,5,13-11-5
026169076885,14,1,4,14-1-4
026169085153,13,11,4,13-11-4
026169085535,13,11,5,13-11-5
026169085917,14,2,4,14-2-4
027281768276,37,2,2,37-2-2
030768027933,13,12,3,13-12-3
033200005469,28,3,6,28-3-6
033200187707,10,5,2,10-5-2
033200190202,26,1,6,26-1-6
033200191223,26,3,6,26-3-6
033200191230,28,11,2,28-11-2
033200194606,27,3,6,27-3-6
033200194705,26,1,6,26-1-6
033200197249,27,3,3,27-3-3
033200197447,27,3,6,27-3-6
033200197935,28,3,6,28-3-6
0340641428,9,5,5,9-5-5
034285534165,8,5,2,8-5-2
034285696153,13,1,3,13-1-3
035017008145,28,1,1,28-1-1
035017008541,28,1,1,28-1-1
035017009029,28,1,1,28-1-1
035017009944,14,0,0,14-0-0
035156001007,23,2,3,23-2-3
035156001052,23,2,3,23-2-3
035156002240,24,3,1,24-3-1
035156006620,23,2,4,23-2-4
035156008013,23,2,3,23-2-3
035156008037,23,2,4,23-2-4
035156009058,23,2,4,23-2-4
035156010009,23,2,3,23-2-3
035156016803,23,2,4,23-2-4
035156028806,24,3,1,24-3-1
035156035019,23,2,3,23-2-3
035156111003,23,2,4,23-2-4
035156800907,23,2,3,23-2-3
035156801553,23,2,4,23-2-4
035156802161,23,2,4,23-2-4
035156802178,23,2,4,23-2-4
035156802185,23,2,3,23-2-3
035156802260,24,2,3,24-2-3
035156802277,23,2,4,23-2-4
03574660372533,16,1,3,16-1-3
0385002407,17,11,2,17-11-2
038949984303,13,4,4,13-4-4
038949984600,13,2,3,13-2-3
040232507243,3,4,1,3-4-1
040232507250,3,4,2,3-4-2
040232508325,4,0,0,4-0-0
040232508332,3,0,0,3-0-0
040232508349,7,6,1,7-6-1
040232508417,3,6,0,3-6-0
040232508448,4,6,1,4-6-1
040232508455,3,6,0,3-6-0
040232508479,7,2,1,7-2-1
040232508509,13,1,5,13-1-5
040232508516,16,5,2,16-5-2
040232508677,4,6,2,4-6-2
040232508769,7,3,1,7-3-1
040232629020,4,6,1,4-6-1
040232629037,4,6,1,4-6-1
040232629044,4,6,1,4-6-1
040232629051,4,6,1,4-6-1
040232629716,16,5,2,16-5-2
040232629723,16,8,4,16-8-4
040232629730,15,4,3,15-4-3
040232647765,4,0,0,4-0-0
040232647772,4,0,0,4-0-0
040232647789,4,6,1,4-6-1
040232647796,4,6,1,4-6-1
040232647802,7,2,1,7-2-1
040232647819,7,2,1,7-2-1
041333043272,38,4,3,38-4-3
041333043982,38,4,3,38-4-3
041333044064,38,4,3,38-4-3
041388065557,26,1,2,26-1-2
041388069555,26,1,2,26-1-2
041388069654,26,1,2,26-1-2
041388097015,25,11,3,25-11-3
041388097091,25,11,3,25-11-3
041507067035,26,2,1,26-2-1
041507070035,26,2,4,26-2-4
041507070097,26,3,2,26-3-2
041507070233,26,2,3,26-2-3
041507070264,26,2,4,26-2-4
041507070271,26,2,3,26-2-3
041507070288,26,2,2,26-2-2
041507070295,26,2,2,26-2-2
041608000207,11,6,5,11-6-5
041608000412,39,2,2,39-2-2
041608000436,11,5,5,11-5-5
041608000528,40,2,3,40-2-3
041608000856,12,7,5,12-7-5
041608000870,12,5,4,12-5-4
041608000900,28,11,3,28-11-3
041608001303,28,11,3,28-11-3
041608001310,28,11,3,28-11-3
041608001327,27,1,2,27-1-2
041608001426,11,6,5,11-6-5
041608001600,28,11,3,28-11-3
041608001631,28,11,3,28-11-3
041608001990,11,3,1,11-3-1
041608002041,11,3,1,11-3-1
041608002201,11,3,1,11-3-1
041608002508,11,5,5,11-5-5
041608002560,28,11,3,28-11-3
041608002577,11,5,3,11-5-3
041608002690,28,11,3,28-11-3
041608002706,12,5,4,12-5-4
041608140781,12,3,1,12-3-1
041608870398,12,5,4,12-5-4
041608870497,12,5,4,12-5-4
042635555357,27,2,3,27-2-3
044677650052,34,2,2,34-2-2
046688100250,7,5,1,7-5-1
047400665491,38,6,4,38-6-4
048474052965,15,2,4,15-2-4
048526004829,33,3,5,33-3-5
048526053407,33,3,5,33-3-5
048526055456,33,3,5,33-3-5
048526104468,33,3,5,33-3-5
048526106288,33,3,2,33-3-2
048675209281,27,2,1,27-2-1
048675209380,27,2,3,27-2-3
048675209403,27,2,3,27-2-3
048675209458,27,2,1,27-2-1
048675209519,27,2,3,27-2-3
048675209601,27,2,3,27-2-3
048675209618,27,2,3,27-2-3
048675209625,27,2,3,27-2-3
048675209649,27,2,3,27-2-3
048675209816,27,2,3,27-2-3
048675209847,27,2,1,27-2-1
048675209854,27,2,3,27-2-3
048675210034,27,2,1,27-2-1
048675210041,27,2,3,27-2-3
048675210058,27,2,3,27-2-3
048675210126,27,2,3,27-2-3
048675210157,27,2,3,27-2-3
048675212045,27,2,1,27-2-1
048675222044,27,2,1,27-2-1
048675252003,27,2,3,27-2-3
048675252041,27,2,3,27-2-3
048675261005,27,2,1,27-2-1
048675271004,27,2,1,27-2-1
048675555036,27,2,3,27-2-3
048675555043,27,2,3,27-2-3
048675555067,27,2,3,27-2-3
048675555074,27,2,3,27-2-3
048675555159,27,2,3,27-2-3
048675555166,27,2,3,27-2-3
048675555173,27,2,3,27-2-3
048675555180,27,2,3,27-2-3
048675555203,27,2,3,27-2-3
048675555227,27,2,3,27-2-3
048675555302,27,2,3,27-2-3
048675555357,27,2,3,27-2-3
048675555364,27,2,3,27-2-3
048675555388,27,2,3,27-2-3
